county,state,households_SOURCE_Census_ACS_5yr_B19001,"share_income_above_59,865_DERIVED_interpolated",est_share_fico_ge670_state_DERIVED_ESTIMATE,addressable_households_DERIVED (hh x income share x credit share)
"Petersburg city, VA",VA,15138,0.4101,0.7172,4452
"Winchester city, VA",VA,11492,0.5399,0.7172,4450
"Franklin County, KS",KS,10409,0.5967,0.7156,4445
"Otsego County, MI",MI,11231,0.5566,0.7106,4442
"Gillespie County, TX",TX,11513,0.6027,0.6402,4442
"Lyon County, MN",MN,10108,0.5852,0.7504,4438
"Lumpkin County, GA",GA,11669,0.5937,0.6402,4436
"Jo Daviess County, IL",IL,10391,0.5958,0.7156,4430
"Monroe County, GA",GA,10554,0.6551,0.6402,4426
"Staunton city, VA",VA,11309,0.5455,0.7172,4424
"Elmore County, ID",ID,11067,0.5457,0.7305,4412
"Logan County, IL",IL,11266,0.5471,0.7156,4411
"Jackson County, OH",OH,12933,0.482,0.704,4389
"Montgomery County, KS",KS,12880,0.4761,0.7156,4388
"Sequoyah County, OK",OK,15454,0.4314,0.657,4380
"Dukes County, MA",MA,7584,0.7847,0.7338,4367
"Wabasha County, MN",MN,9156,0.6355,0.7504,4366
"Pacific County, WA",WA,10977,0.5378,0.7388,4362
"Hood River County, OR",OR,8939,0.6647,0.7321,4350
"Waushara County, WI",WI,10586,0.5524,0.7438,4350
"Miller County, AR",AR,16359,0.4041,0.657,4343
"Mineral County, WV",WV,11120,0.5715,0.6809,4327
"Dodge County, MN",MN,8083,0.7125,0.7504,4322
"Haralson County, GA",GA,11747,0.5743,0.6402,4319
"Wythe County, VA",VA,12533,0.4794,0.7172,4309
"Jasper County, TX",TX,13845,0.485,0.6402,4299
"Carroll County, OH",OH,11206,0.5447,0.704,4297
"Halifax County, VA",VA,13613,0.4391,0.7172,4287
"Lincoln Parish, LA",LA,18487,0.3707,0.6254,4286
"Decatur County, IN",IN,10712,0.5718,0.699,4281
"Yankton County, SD",SD,9695,0.6018,0.7338,4281
"Union County, OR",OR,10900,0.5352,0.7321,4271
"Covington County, AL",AL,14642,0.4591,0.6351,4269
"Giles County, TN",TN,12058,0.5148,0.6875,4268
"Cocke County, TN",TN,15509,0.4002,0.6875,4267
"San Juan County, WA",WA,9015,0.6399,0.7388,4262
"Washington County, NE",NE,8429,0.6934,0.7288,4259
"Fayette County, OH",OH,11582,0.5223,0.704,4258
"Hocking County, OH",OH,11568,0.5223,0.704,4254
"Wise County, VA",VA,13905,0.426,0.7172,4249
"Jones County, GA",GA,10786,0.6152,0.6402,4248
"Clay County, IN",IN,10549,0.5761,0.699,4248
"Boyle County, KY",KY,12045,0.5105,0.6892,4238
"Washington Parish, LA",LA,17716,0.3821,0.6254,4234
"Cheboygan County, MI",MI,11159,0.5326,0.7106,4223
"Klickitat County, WA",WA,9872,0.5783,0.7388,4218
"Marshall County, WV",WV,12487,0.4959,0.6809,4217
"Polk County, MO",MO,12059,0.4978,0.7024,4216
"Montgomery County, IL",IL,11319,0.5198,0.7156,4210
"Marion County, MO",MO,11323,0.5291,0.7024,4208
